"player.surname","player.givenName","team.name","over15dissies","over20dissies","over25dissies","over30dissies","over35dissies","over40dissies"
"Aarts","Jake","Richmond","19.05%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Acres","Blake","Fremantle","77.78%","27.78%","5.56%","0.00%","0.00%","0.00%"
"Adams","Marcus","Brisbane Lions","53.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Adams","Taylor","Collingwood","92.86%","92.86%","71.43%","42.86%","0.00%","0.00%"
"Ah Chee","Brendon","West Coast Eagles","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ah Chee","Callum","Brisbane Lions","9.52%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ainsworth","Ben","Gold Coast Suns","58.82%","23.53%","0.00%","0.00%","0.00%","0.00%"
"Ainsworth","Brayden","West Coast Eagles","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Aish","James","Fremantle","81.82%","40.91%","9.09%","4.55%","0.00%","0.00%"
"Aliir","Aliir","Port Adelaide","54.55%","18.18%","0.00%","0.00%","0.00%","0.00%"
"Allen","Oscar","West Coast Eagles","4.76%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Amartey","Joel","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ambrose","Patrick","Essendon","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Amon","Karl","Port Adelaide","95.45%","77.27%","50.00%","13.64%","0.00%","0.00%"
"Anderson","Jed","North Melbourne","71.43%","42.86%","28.57%","0.00%","0.00%","0.00%"
"Anderson","Noah","Gold Coast Suns","85.00%","60.00%","45.00%","25.00%","5.00%","0.00%"
"Andrews","Harris","Brisbane Lions","66.67%","19.05%","0.00%","0.00%","0.00%","0.00%"
"Ash","Lachie","GWS Giants","66.67%","38.10%","14.29%","4.76%","4.76%","0.00%"
"Astbury","David","Richmond","41.18%","5.88%","0.00%","0.00%","0.00%","0.00%"
"Atkins","Rory","Gold Coast Suns","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Atkins","Tom","Geelong Cats","84.21%","26.32%","10.53%","0.00%","0.00%","0.00%"
"Atley","Shaun","North Melbourne","75.00%","35.00%","5.00%","0.00%","0.00%","0.00%"
"Bailey","Zac","Brisbane Lions","86.36%","27.27%","18.18%","0.00%","0.00%","0.00%"
"Baker","Liam","Richmond","95.45%","50.00%","13.64%","4.55%","0.00%","0.00%"
"Baker","Oskar","Melbourne","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ballard","Charlie","Gold Coast Suns","52.38%","4.76%","0.00%","0.00%","0.00%","0.00%"
"Ballenden","Connor","Brisbane Lions","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Balta","Noah","Richmond","35.71%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Banfield","Bailey","Fremantle","16.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Barrass","Tom","West Coast Eagles","37.50%","12.50%","0.00%","0.00%","0.00%","0.00%"
"Battle","Josh","St Kilda","31.25%","6.25%","0.00%","0.00%","0.00%","0.00%"
"Bell","James","Sydney Swans","9.09%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Bergman","Miles","Port Adelaide","57.14%","19.05%","0.00%","0.00%","0.00%","0.00%"
"Berry","Jarrod","Brisbane Lions","55.56%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Berry","Sam","Adelaide Crows","5.88%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Berry","Thomas","Brisbane Lions","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Betts","Eddie","Carlton","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Bewley","Brett","Fremantle","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Bews","Jed","Geelong Cats","40.91%","13.64%","0.00%","0.00%","0.00%","0.00%"
"Bianco","Trent","Collingwood","41.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Billings","Jack","St Kilda","77.78%","44.44%","22.22%","11.11%","0.00%","0.00%"
"Birchall","Grant","Brisbane Lions","90.48%","38.10%","14.29%","0.00%","0.00%","0.00%"
"Blakely","Connor","Fremantle","15.38%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Blakey","Nick","Sydney Swans","47.06%","5.88%","0.00%","0.00%","0.00%","0.00%"
"Blicavs","Mark","Geelong Cats","42.86%","9.52%","0.00%","0.00%","0.00%","0.00%"
"Boak","Travis","Port Adelaide","100.00%","100.00%","90.48%","28.57%","0.00%","0.00%"
"Bolton","Shai","Richmond","75.00%","60.00%","20.00%","0.00%","0.00%","0.00%"
"Bonar","Aiden","North Melbourne","30.00%","10.00%","0.00%","0.00%","0.00%","0.00%"
"Bonner","Riley","Port Adelaide","83.33%","41.67%","8.33%","0.00%","0.00%","0.00%"
"Bontempelli","Marcus","Western Bulldogs","100.00%","86.36%","81.82%","40.91%","4.55%","0.00%"
"Bosenavulagi","Atu","North Melbourne","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Bowes","Jack","Gold Coast Suns","89.47%","57.89%","26.32%","21.05%","0.00%","0.00%"
"Bowey","Jake","Melbourne","75.00%","25.00%","0.00%","0.00%","0.00%","0.00%"
"Bramble","Lachlan","Hawthorn","80.00%","30.00%","30.00%","0.00%","0.00%","0.00%"
"Brand","Kaiden","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Brander","Jarrod","West Coast Eagles","54.55%","9.09%","0.00%","0.00%","0.00%","0.00%"
"Brayshaw","Andrew","Fremantle","100.00%","90.00%","80.00%","40.00%","5.00%","0.00%"
"Brayshaw","Angus","Melbourne","77.27%","22.73%","9.09%","0.00%","0.00%","0.00%"
"Breust","Luke","Hawthorn","21.05%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Briggs","Kieren","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Broad","Nathan","Richmond","64.29%","21.43%","7.14%","0.00%","0.00%","0.00%"
"Brockman","Tyler","Hawthorn","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Brodie","Will","Gold Coast Suns","60.00%","20.00%","0.00%","0.00%","0.00%","0.00%"
"Brown","Ben","Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Brown","Callum L.","Collingwood","6.67%","6.67%","0.00%","0.00%","0.00%","0.00%"
"Brown","Callum M.","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Brown","Luke","Adelaide Crows","54.55%","9.09%","0.00%","0.00%","0.00%","0.00%"
"Brown","Mitch","Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Brown","Tyler","Collingwood","57.14%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Bruce","Josh","Western Bulldogs","20.00%","5.00%","0.00%","0.00%","0.00%","0.00%"
"Bruhn","Tanner","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Bryan","Nick","Essendon","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Buckley","Jack","GWS Giants","20.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Budarick","Connor","Gold Coast Suns","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Buntine","Matt","GWS Giants","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Burgess","Chris","Gold Coast Suns","5.26%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Burgoyne","Shaun","Hawthorn","38.89%","5.56%","0.00%","0.00%","0.00%","0.00%"
"Burton","Ryan","Port Adelaide","72.73%","31.82%","13.64%","0.00%","0.00%","0.00%"
"Butler","Dan","St Kilda","18.18%","4.55%","0.00%","0.00%","0.00%","0.00%"
"Butler","Louis","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Butters","Zak","Port Adelaide","90.00%","30.00%","20.00%","10.00%","10.00%","0.00%"
"Butts","Jordon","Adelaide Crows","13.64%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Byrne-Jones","Darcy","Port Adelaide","90.91%","50.00%","18.18%","0.00%","0.00%","0.00%"
"Byrnes","Ryan","St Kilda","56.25%","18.75%","0.00%","0.00%","0.00%","0.00%"
"Bytel","Jack","St Kilda","38.46%","7.69%","0.00%","0.00%","0.00%","0.00%"
"Caddy","Josh","Richmond","66.67%","22.22%","0.00%","0.00%","0.00%","0.00%"
"Cahill","Ned","Essendon","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Caldwell","Jye","Essendon","50.00%","50.00%","0.00%","0.00%","0.00%","0.00%"
"Cameron","Charlie","Brisbane Lions","4.55%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Cameron","Darcy","Collingwood","22.22%","5.56%","0.00%","0.00%","0.00%","0.00%"
"Cameron","Jeremy","Geelong Cats","25.00%","8.33%","0.00%","0.00%","0.00%","0.00%"
"Campbell","Braeden","Sydney Swans","25.00%","12.50%","12.50%","0.00%","0.00%","0.00%"
"Campbell","Tom","North Melbourne","11.11%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Carlisle","Jake","St Kilda","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Casboult","Levi","Carlton","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Castagna","Jason","Richmond","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Cavarra","Ben","Western Bulldogs","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ceglar","Jonathon","Hawthorn","66.67%","16.67%","0.00%","0.00%","0.00%","0.00%"
"Cerra","Adam","Fremantle","94.44%","77.78%","38.89%","11.11%","0.00%","0.00%"
"Chandler","Kade","Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Chapman","Heath","Fremantle","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Chol","Mabior","Richmond","10.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Clark","Hunter","St Kilda","76.92%","53.85%","15.38%","7.69%","0.00%","0.00%"
"Clark","Jordan","Geelong Cats","45.45%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Clarke","Dylan","Essendon","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Clarke","Ryan","Sydney Swans","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Clavarino","Oscar","St Kilda","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Close","Brad","Geelong Cats","31.58%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Clurey","Tom","Port Adelaide","36.36%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Cockatoo","Nakia","Brisbane Lions","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Coffield","Nick","St Kilda","56.25%","12.50%","0.00%","0.00%","0.00%","0.00%"
"Cole","Tom","West Coast Eagles","36.36%","4.55%","0.00%","0.00%","0.00%","0.00%"
"Coleman","Keidean","Brisbane Lions","6.25%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Coleman-Jones","Callum","Richmond","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Collier-Dawkins","Riley","Richmond","44.44%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Collins","Sam","Gold Coast Suns","21.05%","5.26%","0.00%","0.00%","0.00%","0.00%"
"Colyer","Travis","Fremantle","31.82%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Comben","Charlie","North Melbourne","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Conca","Reece","Fremantle","50.00%","10.00%","0.00%","0.00%","0.00%","0.00%"
"Coniglio","Stephen","GWS Giants","60.00%","40.00%","0.00%","0.00%","0.00%","0.00%"
"Connolly","Leo","St Kilda","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Constable","Charlie","Geelong Cats","33.33%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Cook","Brayden","Adelaide Crows","66.67%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Corbett","Josh","Gold Coast Suns","18.75%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Cordy","Zaine","Western Bulldogs","11.76%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Corr","Aidan","North Melbourne","50.00%","50.00%","0.00%","0.00%","0.00%","0.00%"
"Cotchin","Trent","Richmond","82.35%","58.82%","17.65%","11.76%","0.00%","0.00%"
"Cottrell","Matthew","Carlton","28.57%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Cousins","James","Hawthorn","90.00%","60.00%","10.00%","0.00%","0.00%","0.00%"
"Cox","Brennan","Fremantle","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Cox","Mason","Collingwood","14.29%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Cox","Nik","Essendon","38.10%","4.76%","0.00%","0.00%","0.00%","0.00%"
"Cripps","Jamie","West Coast Eagles","27.27%","13.64%","9.09%","0.00%","0.00%","0.00%"
"Cripps","Patrick","Carlton","100.00%","85.00%","40.00%","5.00%","0.00%","0.00%"
"Crisp","Jack","Collingwood","100.00%","86.36%","63.64%","50.00%","9.09%","0.00%"
"Crouch","Brad","St Kilda","100.00%","85.00%","65.00%","25.00%","15.00%","0.00%"
"Crowden","Mitch","Fremantle","18.75%","6.25%","0.00%","0.00%","0.00%","0.00%"
"Crozier","Hayden","Western Bulldogs","50.00%","10.00%","10.00%","0.00%","0.00%","0.00%"
"Cumming","Isaac","GWS Giants","100.00%","72.73%","22.73%","4.55%","0.00%","0.00%"
"Cuningham","David","Carlton","50.00%","25.00%","25.00%","0.00%","0.00%","0.00%"
"Cunningham","Harry","Sydney Swans","55.00%","35.00%","15.00%","0.00%","0.00%","0.00%"
"Cunnington","Ben","North Melbourne","100.00%","100.00%","73.33%","20.00%","13.33%","0.00%"
"Curnow","Charlie","Carlton","25.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Curnow","Ed","Carlton","90.91%","72.73%","45.45%","9.09%","0.00%","0.00%"
"Cutler","Tom","Essendon","41.67%","16.67%","0.00%","0.00%","0.00%","0.00%"
"Dahlhaus","Luke","Geelong Cats","30.00%","10.00%","0.00%","0.00%","0.00%","0.00%"
"Daicos","Josh","Collingwood","88.24%","35.29%","17.65%","0.00%","0.00%","0.00%"
"Dale","Bailey","Western Bulldogs","95.45%","86.36%","45.45%","22.73%","0.00%","0.00%"
"Dangerfield","Patrick","Geelong Cats","92.31%","76.92%","38.46%","15.38%","7.69%","0.00%"
"Daniel","Caleb","Western Bulldogs","95.24%","80.95%","57.14%","23.81%","0.00%","0.00%"
"Daniels","Brent","GWS Giants","38.46%","7.69%","0.00%","0.00%","0.00%","0.00%"
"Daniher","Joe","Brisbane Lions","50.00%","4.55%","4.55%","0.00%","0.00%","0.00%"
"Darcy","Sean","Fremantle","71.43%","14.29%","4.76%","0.00%","0.00%","0.00%"
"Darling","Jack","West Coast Eagles","31.82%","0.00%","0.00%","0.00%","0.00%","0.00%"
